,sub_region_1,Date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
5333,Karnataka,2020-08-30,-41.310344827586206,-0.9411764705882353,-42.166666666666664,-20.806451612903224,5.290322580645161,8.580645161290322
5334,Karnataka,2020-08-31,-32.62068965517241,11.133333333333333,-39.55555555555556,-16.258064516129032,-11.67741935483871,10.290322580645162
5335,Karnataka,2020-09-01,-34.13793103448276,10.1875,-41.0,-16.580645161290324,-12.35483870967742,11.161290322580646
5336,Karnataka,2020-09-02,-36.10344827586207,4.4,-42.857142857142854,-17.774193548387096,-12.129032258064516,11.935483870967742
5337,Karnataka,2020-09-03,-34.89655172413793,7.4,-43.17857142857143,-20.29032258064516,-13.096774193548388,12.935483870967742
5338,Karnataka,2020-09-04,-32.827586206896555,13.333333333333334,-42.629629629629626,-17.161290322580644,-10.580645161290322,12.451612903225806
5339,Karnataka,2020-09-05,-33.41379310344828,13.705882352941176,-42.793103448275865,-17.35483870967742,-5.258064516129032,10.225806451612904
5340,Karnataka,2020-09-06,-38.0,4.625,-40.733333333333334,-19.903225806451612,4.032258064516129,9.161290322580646
5341,Karnataka,2020-09-07,-31.344827586206897,13.0,-39.888888888888886,-16.64516129032258,-12.193548387096774,11.290322580645162
5342,Karnataka,2020-09-08,-32.0,12.0,-39.148148148148145,-14.774193548387096,-13.225806451612904,10.838709677419354
5343,Karnataka,2020-09-09,-34.6551724137931,8.25,-40.22222222222222,-16.161290322580644,-11.870967741935484,11.580645161290322
5344,Karnataka,2020-09-10,-33.310344827586206,8.2,-40.666666666666664,-17.451612903225808,-13.612903225806452,11.774193548387096
5345,Karnataka,2020-09-11,-29.612903225806452,20.903225806451612,-38.774193548387096,-17.70967741935484,-13.225806451612904,12.129032258064516
5346,Karnataka,2020-09-12,-33.38709677419355,15.387096774193548,-40.935483870967744,-22.419354838709676,-17.35483870967742,13.129032258064516
5347,Karnataka,2020-09-13,-35.774193548387096,15.806451612903226,-39.74193548387097,-20.838709677419356,0.6129032258064516,10.612903225806452
