,sub_region_1,Date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
5142,Karnataka,2020-02-21,-0.8387096774193549,-2.4516129032258065,10.806451612903226,-1.903225806451613,-26.032258064516128,6.709677419354839
5143,Karnataka,2020-02-22,-0.8064516129032258,-3.3225806451612905,5.806451612903226,-2.129032258064516,-7.67741935483871,2.4516129032258065
5144,Karnataka,2020-02-23,-2.3870967741935485,-4.451612903225806,0.5161290322580645,2.032258064516129,2.6451612903225805,1.6451612903225807
5145,Karnataka,2020-02-24,1.032258064516129,0.5806451612903226,0.45161290322580644,4.129032258064516,8.709677419354838,-0.12903225806451613
5146,Karnataka,2020-02-25,2.838709677419355,0.6129032258064516,0.0,2.774193548387097,8.064516129032258,-0.16129032258064516
5147,Karnataka,2020-02-26,3.032258064516129,0.7419354838709677,0.45161290322580644,4.645161290322581,6.935483870967742,-0.5161290322580645
5148,Karnataka,2020-02-27,1.1290322580645162,0.12903225806451613,0.1935483870967742,1.2258064516129032,7.838709677419355,0.2903225806451613
5149,Karnataka,2020-02-28,2.4193548387096775,0.1935483870967742,0.8709677419354839,0.9354838709677419,9.129032258064516,0.0
5150,Karnataka,2020-02-29,0.9354838709677419,0.5161290322580645,-0.7419354838709677,1.1612903225806452,10.806451612903226,-0.3225806451612903
5151,Karnataka,2020-03-01,0.7096774193548387,2.0,-0.3548387096774194,0.16129032258064516,5.483870967741935,0.5161290322580645
5152,Karnataka,2020-03-02,0.22580645161290322,0.8709677419354839,-0.8064516129032258,-0.4838709677419355,9.580645161290322,0.41935483870967744
5153,Karnataka,2020-03-03,-0.41935483870967744,0.7096774193548387,-0.8387096774193549,-0.6774193548387096,8.870967741935484,0.6774193548387096
5154,Karnataka,2020-03-04,1.903225806451613,4.129032258064516,-0.6451612903225806,3.096774193548387,8.35483870967742,0.1935483870967742
5155,Karnataka,2020-03-05,-0.0967741935483871,1.2258064516129032,-1.096774193548387,-0.0967741935483871,9.258064516129032,0.6774193548387096
5156,Karnataka,2020-03-06,1.096774193548387,3.129032258064516,-0.8387096774193549,1.3225806451612903,11.193548387096774,0.5483870967741935
5157,Karnataka,2020-03-07,2.0,4.193548387096774,-0.25806451612903225,4.32258064516129,10.129032258064516,0.16129032258064516
5158,Karnataka,2020-03-08,1.1612903225806452,5.0,0.6451612903225806,2.7096774193548385,7.0,1.1935483870967742
5159,Karnataka,2020-03-09,-1.3225806451612903,0.7419354838709677,2.129032258064516,0.06451612903225806,5.774193548387097,1.8064516129032258
5160,Karnataka,2020-03-10,-8.67741935483871,-7.774193548387097,0.0967741935483871,-7.032258064516129,-8.096774193548388,4.516129032258065
5161,Karnataka,2020-03-11,-0.9032258064516129,1.903225806451613,-1.5806451612903225,1.5806451612903225,5.903225806451613,0.5806451612903226
5162,Karnataka,2020-03-12,-2.4193548387096775,0.6129032258064516,-2.0,-2.2580645161290325,7.258064516129032,1.1612903225806452
5163,Karnataka,2020-03-13,-3.5806451612903225,0.41935483870967744,-3.870967741935484,-3.129032258064516,5.774193548387097,1.5806451612903225
5164,Karnataka,2020-03-14,-8.161290322580646,-1.1935483870967742,-10.64516129032258,-4.032258064516129,-7.064516129032258,3.870967741935484
5165,Karnataka,2020-03-15,-10.935483870967742,-5.666666666666667,-11.483870967741936,-5.516129032258065,3.064516129032258,3.4516129032258065
5166,Karnataka,2020-03-16,-6.870967741935484,-1.4516129032258065,-5.67741935483871,-6.516129032258065,-2.7096774193548385,5.258064516129032
5167,Karnataka,2020-03-17,-9.612903225806452,-3.3548387096774195,-4.67741935483871,-8.806451612903226,-5.451612903225806,5.451612903225806
5168,Karnataka,2020-03-18,-9.32258064516129,-0.4838709677419355,-6.419354838709677,-8.451612903225806,-5.451612903225806,5.645161290322581
5169,Karnataka,2020-03-19,-11.870967741935484,-0.7096774193548387,-7.483870967741935,-11.741935483870968,-6.741935483870968,6.387096774193548
5170,Karnataka,2020-03-20,-15.709677419354838,-0.22580645161290322,-10.774193548387096,-15.129032258064516,-7.193548387096774,7.838709677419355
5171,Karnataka,2020-03-21,-20.032258064516128,6.193548387096774,-16.06451612903226,-14.806451612903226,-6.483870967741935,7.0
5172,Karnataka,2020-03-22,-69.58064516129032,-68.46666666666667,-44.483870967741936,-62.61290322580645,-37.483870967741936,22.677419354838708
5173,Karnataka,2020-03-23,-26.64516129032258,8.935483870967742,-9.774193548387096,-27.548387096774192,-24.967741935483872,12.935483870967742
5174,Karnataka,2020-03-24,-61.32258064516129,-44.03333333333333,-24.870967741935484,-52.45161290322581,-54.096774193548384,23.64516129032258
5175,Karnataka,2020-03-25,-69.6774193548387,-59.70967741935484,-30.677419354838708,-61.903225806451616,-66.38709677419355,30.06451612903226
5176,Karnataka,2020-03-26,-69.45161290322581,-56.58064516129032,-29.387096774193548,-63.193548387096776,-60.774193548387096,29.548387096774192
5177,Karnataka,2020-03-27,-69.48387096774194,-56.2,-32.32258064516129,-63.41935483870968,-59.58064516129032,30.032258064516128
5178,Karnataka,2020-03-28,-71.51612903225806,-59.6,-39.774193548387096,-65.64516129032258,-60.096774193548384,30.64516129032258
5179,Karnataka,2020-03-29,-70.2258064516129,-58.0,-41.935483870967744,-64.3225806451613,-37.96774193548387,23.93548387096774
5180,Karnataka,2020-03-30,-69.29032258064517,-54.516129032258064,-30.64516129032258,-64.06451612903226,-57.225806451612904,31.129032258064516
5181,Karnataka,2020-03-31,-68.0,-52.645161290322584,-28.741935483870968,-61.903225806451616,-57.0,28.838709677419356
5182,Karnataka,2020-04-01,-68.58064516129032,-53.4,-28.741935483870968,-61.516129032258064,-56.96774193548387,28.64516129032258
5183,Karnataka,2020-04-02,-68.87096774193549,-54.43333333333333,-29.580645161290324,-62.806451612903224,-56.0,29.677419354838708
5184,Karnataka,2020-04-03,-67.87096774193549,-51.225806451612904,-30.193548387096776,-61.806451612903224,-54.45161290322581,28.774193548387096
5185,Karnataka,2020-04-04,-69.19354838709677,-53.4,-36.83870967741935,-63.193548387096776,-51.03225806451613,28.129032258064516
5186,Karnataka,2020-04-05,-68.7741935483871,-53.96666666666667,-39.516129032258064,-62.58064516129032,-31.129032258064516,21.93548387096774
5187,Karnataka,2020-04-06,-68.09677419354838,-49.38709677419355,-26.0,-61.87096774193548,-57.516129032258064,30.032258064516128
5188,Karnataka,2020-04-07,-69.45161290322581,-32.903225806451616,-22.451612903225808,-53.25806451612903,-54.45161290322581,27.258064516129032
5189,Karnataka,2020-04-08,-69.29032258064517,-33.25806451612903,-23.516129032258064,-52.58064516129032,-54.064516129032256,27.70967741935484
5190,Karnataka,2020-04-09,-70.19354838709677,-35.225806451612904,-24.612903225806452,-54.74193548387097,-54.41935483870968,30.06451612903226
5191,Karnataka,2020-04-10,-69.96774193548387,-32.096774193548384,-25.35483870967742,-54.645161290322584,-58.25806451612903,30.806451612903224
5192,Karnataka,2020-04-11,-71.80645161290323,-35.064516129032256,-33.483870967741936,-57.0,-54.67741935483871,30.419354838709676
5193,Karnataka,2020-04-12,-70.93548387096774,-33.41935483870968,-36.83870967741935,-55.806451612903224,-30.903225806451612,24.225806451612904
5194,Karnataka,2020-04-13,-69.48387096774194,-32.67741935483871,-24.64516129032258,-54.58064516129032,-52.32258064516129,30.838709677419356
5195,Karnataka,2020-04-14,-70.09677419354838,-35.064516129032256,-22.677419354838708,-54.58064516129032,-56.903225806451616,30.06451612903226
5196,Karnataka,2020-04-15,-69.16129032258064,-26.516129032258064,-23.451612903225808,-50.54838709677419,-50.483870967741936,28.096774193548388
5197,Karnataka,2020-04-16,-78.64516129032258,-22.870967741935484,-41.74193548387097,-52.74193548387097,-51.74193548387097,29.580645161290324
5198,Karnataka,2020-04-17,-78.61290322580645,-21.870967741935484,-43.225806451612904,-52.38709677419355,-50.54838709677419,29.774193548387096
5199,Karnataka,2020-04-18,-80.25806451612904,-26.129032258064516,-51.25806451612903,-56.03225806451613,-48.193548387096776,29.451612903225808
5200,Karnataka,2020-04-19,-79.48387096774194,-23.419354838709676,-53.70967741935484,-54.38709677419355,-28.870967741935484,23.225806451612904
5201,Karnataka,2020-04-20,-78.6774193548387,-22.0,-42.25806451612903,-54.03225806451613,-49.516129032258064,30.032258064516128
5202,Karnataka,2020-04-21,-77.87096774193549,-20.193548387096776,-41.645161290322584,-52.0,-50.064516129032256,28.032258064516128
5203,Karnataka,2020-04-22,-77.96774193548387,-19.580645161290324,-42.54838709677419,-51.61290322580645,-49.41935483870968,28.451612903225808
5204,Karnataka,2020-04-23,-77.93548387096774,-21.096774193548388,-43.0,-53.25806451612903,-48.87096774193548,29.806451612903224
5205,Karnataka,2020-04-24,-76.58064516129032,-15.838709677419354,-44.29032258064516,-50.96774193548387,-47.12903225806452,28.096774193548388
5206,Karnataka,2020-04-25,-78.45161290322581,-21.0,-51.225806451612904,-54.16129032258065,-49.25806451612903,29.032258064516128
5207,Karnataka,2020-04-26,-78.06451612903226,-20.612903225806452,-54.25806451612903,-53.38709677419355,-25.903225806451612,22.741935483870968
5208,Karnataka,2020-04-27,-76.54838709677419,-16.548387096774192,-43.12903225806452,-51.83870967741935,-45.516129032258064,28.548387096774192
5209,Karnataka,2020-04-28,-76.09677419354838,-16.612903225806452,-42.03225806451613,-50.225806451612904,-46.0,27.35483870967742
5210,Karnataka,2020-04-29,-74.74193548387096,-12.290322580645162,-42.193548387096776,-47.96774193548387,-44.12903225806452,26.35483870967742
5211,Karnataka,2020-04-30,-75.03225806451613,-14.258064516129032,-42.54838709677419,-49.935483870967744,-43.74193548387097,27.06451612903226
5212,Karnataka,2020-05-01,-74.64516129032258,-11.419354838709678,-43.74193548387097,-49.96774193548387,-51.12903225806452,28.096774193548388
5213,Karnataka,2020-05-02,-75.90322580645162,-14.903225806451612,-50.83870967741935,-51.29032258064516,-39.25806451612903,26.032258064516128
5214,Karnataka,2020-05-03,-74.64516129032258,-10.129032258064516,-53.12903225806452,-48.67741935483871,-20.129032258064516,20.193548387096776
5215,Karnataka,2020-05-04,-66.58064516129032,5.709677419354839,-41.41935483870968,-39.0,-35.38709677419355,22.35483870967742
5216,Karnataka,2020-05-05,-66.35483870967742,1.8333333333333333,-40.935483870967744,-37.32258064516129,-34.96774193548387,21.483870967741936
5217,Karnataka,2020-05-06,-64.16129032258064,9.066666666666666,-41.87096774193548,-33.87096774193548,-31.612903225806452,20.806451612903224
5218,Karnataka,2020-05-07,-64.51612903225806,14.0,-41.935483870967744,-36.61290322580645,-30.838709677419356,21.967741935483872
5219,Karnataka,2020-05-08,-63.645161290322584,16.677419354838708,-43.16129032258065,-35.41935483870968,-28.677419354838708,21.129032258064516
5220,Karnataka,2020-05-09,-65.93548387096774,12.870967741935484,-49.87096774193548,-39.0,-31.870967741935484,21.70967741935484
5221,Karnataka,2020-05-10,-67.12903225806451,5.7,-51.83870967741935,-39.193548387096776,-10.258064516129032,17.06451612903226
5222,Karnataka,2020-05-11,-62.87096774193548,13.233333333333333,-41.96774193548387,-36.354838709677416,-27.35483870967742,21.225806451612904
